hobo_event_n,dt,site,yield_mm
2,2018-09-03T23:20:00Z,SFC,0.015884038504232034
2,2018-09-03T23:20:00Z,SFD,0.012517320741210229
2,2018-09-03T23:20:00Z,TFB,8.922263897281681
2,2018-09-03T23:20:00Z,TFD,4.0332720002937945
2,2018-09-03T23:25:00Z,SFA,0.024430228998273972
2,2018-09-03T23:25:00Z,SFB,0.0015134608092379816
2,2018-09-03T23:25:00Z,SFC,0.008004990353760861
2,2018-09-03T23:25:00Z,SFD,0.00902495767531123
2,2018-09-03T23:25:00Z,TFB,8.72810330079695
2,2018-09-03T23:25:00Z,TFD,3.3682389949285865
2,2018-09-03T23:30:00Z,SFA,0.023689926242611577
2,2018-09-03T23:30:00Z,SFB,-0.001880601858504606
2,2018-09-03T23:30:00Z,SFC,0.004048255435460545
2,2018-09-03T23:30:00Z,SFD,0.008313577646400555
2,2018-09-03T23:30:00Z,TFB,9.931022409569684
2,2018-09-03T23:30:00Z,TFD,4.0957851329414545
2,2018-09-03T23:35:00Z,SFA,0.023440388156974235
2,2018-09-03T23:35:00Z,SFB,-0.004353371945765613
2,2018-09-03T23:35:00Z,SFC,0.0011952045269342168
2,2018-09-03T23:35:00Z,SFD,0.0079065143175357
2,2018-09-03T23:35:00Z,TFB,11.059026400521786
2,2018-09-03T23:35:00Z,TFD,4.828946986631641
2,2018-09-03T23:40:00Z,SFA,0.02841202743830664
2,2018-09-03T23:40:00Z,SFB,-0.0023938796724778154
2,2018-09-03T23:40:00Z,SFC,0.003478164321217168
2,2018-09-03T23:40:00Z,SFD,0.010499382573365402
2,2018-09-03T23:40:00Z,TFB,13.3845242805239
2,2018-09-03T23:40:00Z,TFD,6.873863747390738
2,2018-09-03T23:45:00Z,SFA,0.03970458495310379
2,2018-09-03T23:45:00Z,SFB,0.0044770912376313025
2,2018-09-03T23:45:00Z,SFC,0.011400677182137662
2,2018-09-03T23:45:00Z,SFD,0.016730363238979393
2,2018-09-03T23:45:00Z,TFB,17.357709700833247
2,2018-09-03T23:45:00Z,TFD,10.630409732508578
2,2018-09-03T23:50:00Z,SFA,0.04757080615302763
2,2018-09-03T23:50:00Z,SFB,0.009176981102952186
2,2018-09-03T23:50:00Z,SFC,0.016850937393488283
2,2018-09-03T23:50:00Z,SFD,0.021036638888096655
2,2018-09-03T23:50:00Z,TFB,20.273264804951616
2,2018-09-03T23:50:00Z,TFD,13.352224203131756
2,2018-09-03T23:55:00Z,SFA,0.05095813567563588
2,2018-09-03T23:55:00Z,SFB,0.011068775160697944
2,2018-09-03T23:55:00Z,SFC,0.019103758140702604
2,2018-09-03T23:55:00Z,SFD,0.02276984032991753
2,2018-09-03T23:55:00Z,TFB,21.800513521824872
2,2018-09-03T23:55:00Z,TFD,14.729392236283703
2,2018-09-04T00:00:00Z,SFA,0.05492489748291703
2,2018-09-04T00:00:00Z,SFB,0.013855759649447049
2,2018-09-04T00:00:00Z,SFC,0.02239836188186598
2,2018-09-04T00:00:00Z,SFD,0.024798020613972724
2,2018-09-04T00:00:00Z,TFB,23.333455833488145
2,2018-09-04T00:00:00Z,TFD,16.184483522347968
2,2018-09-04T00:05:00Z,SFA,0.058890156013179186
2,2018-09-04T00:05:00Z,SFB,0.01696582638963799
2,2018-09-04T00:05:00Z,SFC,0.02606955680974871
2,2018-09-04T00:05:00Z,SFD,0.026832995674476792
2,2018-09-04T00:05:00Z,TFB,24.753787963077116
2,2018-09-04T00:05:00Z,TFD,17.56986424251134
2,2018-09-04T00:10:00Z,SFA,0.06227297570473047
2,2018-09-04T00:10:00Z,SFB,0.019826867201709262
2,2018-09-04T00:10:00Z,SFC,0.02945215111712107
2,2018-09-04T00:10:00Z,SFD,0.028586581445644278
2,2018-09-04T00:10:00Z,TFB,25.94320613372746
2,2018-09-04T00:10:00Z,TFD,18.737900577960616
2,2018-09-04T00:15:00Z,SFA,0.06449242099587896
2,2018-09-04T00:15:00Z,SFB,0.021866773906099347
2,2018-09-04T00:15:00Z,SFC,0.03188095299675334
2,2018-09-04T00:15:00Z,SFD,0.029770593861689728
2,2018-09-04T00:15:00Z,TFB,26.78340656857485
2,2018-09-04T00:15:00Z,TFD,19.54095870988258
2,2018-09-04T00:20:00Z,SFA,0.0653063271908421
2,2018-09-04T00:20:00Z,SFB,0.023149938237888953
2,2018-09-04T00:20:00Z,SFC,0.03344749925918373
2,2018-09-04T00:20:00Z,SFD,0.030305595014930506
2,2018-09-04T00:20:00Z,TFB,27.161052981385303
