dt,site,site2,yield_mm,hobo_event_n,recession_n
2018-10-02T18:50:00Z,TF-D,TF,19.13715830920422,6,TFD_E6_1
2018-10-02T18:55:00Z,TF-D,TF,19.34074509972767,6,TFD_E6_1
2018-10-02T19:00:00Z,TF-D,TF,19.544331890251122,6,TFD_E6_1
2018-10-02T19:05:00Z,TF-D,TF,19.95150547129802,6,TFD_E6_1
2018-10-02T19:10:00Z,TF-D,TF,19.74791868077457,6,TFD_E6_1
2018-10-02T19:15:00Z,TF-D,TF,20.15509226182147,6,TFD_E6_1
2018-10-02T19:20:00Z,TF-D,TF,19.95150547129802,6,TFD_E6_1
2018-10-02T19:25:00Z,TF-D,TF,20.562265842868367,6,TFD_E6_1
2018-10-02T19:30:00Z,TF-D,TF,20.969439423915265,6,TFD_E6_1
2018-10-02T19:35:00Z,TF-D,TF,20.76585263339182,6,TFD_E6_1
2018-10-02T19:40:00Z,TF-D,TF,20.969439423915265,6,TFD_E6_1
2018-10-02T19:45:00Z,TF-D,TF,20.76585263339182,6,TFD_E6_1
2018-10-02T19:50:00Z,TF-D,TF,21.376613004962163,6,TFD_E6_1
2018-10-02T19:55:00Z,TF-D,TF,21.580199795485612,6,TFD_E6_1
2018-10-02T20:00:00Z,TF-D,TF,22.190960167055955,6,TFD_E6_1
2018-10-02T20:05:00Z,TF-D,TF,22.598133748102857,6,TFD_E6_1
2018-10-02T20:10:00Z,TF-D,TF,22.598133748102857,6,TFD_E6_1
2018-10-02T20:15:00Z,TF-D,TF,22.801720538626306,6,TFD_E6_1
2018-10-02T20:20:00Z,TF-D,TF,22.801720538626306,6,TFD_E6_1
2018-10-02T20:25:00Z,TF-D,TF,23.412480910196656,6,TFD_E6_1
2018-10-02T20:30:00Z,TF-D,TF,23.819654491243554,6,TFD_E6_1
2018-10-02T20:35:00Z,TF-D,TF,23.616067700720105,6,TFD_E6_1
2018-10-02T20:40:00Z,TF-D,TF,23.616067700720105,6,TFD_E6_1
2018-10-02T20:45:00Z,TF-D,TF,23.819654491243554,6,TFD_E6_1
2018-10-02T20:50:00Z,TF-D,TF,24.430414862813905,6,TFD_E6_1
2018-10-02T20:55:00Z,TF-D,TF,24.430414862813905,6,TFD_E6_1
2018-10-02T21:00:00Z,TF-D,TF,25.041175234384248,6,TFD_E6_1
2018-10-02T21:05:00Z,TF-D,TF,24.8375884438608,6,TFD_E6_1
2018-10-02T21:10:00Z,TF-D,TF,24.8375884438608,6,TFD_E6_1
2018-10-02T21:15:00Z,TF-D,TF,25.041175234384248,6,TFD_E6_1
2018-10-02T21:20:00Z,TF-D,TF,25.244762024907697,6,TFD_E6_1
2018-10-02T21:25:00Z,TF-D,TF,25.244762024907697,6,TFD_E6_1
2018-10-02T21:30:00Z,TF-D,TF,25.244762024907697,6,TFD_E6_1
